RackType,AZ,Compatible IPNs,Incompatible IPNs
SC.XYZA.25A,PAD4,35,51
SC.XYZA.25A,PAD77,35,26
SC.XYZA.25A,PAD79,35,26
SC.XYZA.25A,PAD80,35,26
SC.XYZA.25A,PAD89,35,26
SC.XYZA.17,IXD1,47,58
SC.XYZA.17,IXD12,47,87
SC.XYZA.17,IXD2,15,72
SC.XYZA.17,IXD202,15,72
SC.XYZA.17,IXD23,15,72
SC.XYZA.17,IXD250,47,40
SC.XYZA.17,IXD33,47,40
SC.XYZA.17,IXD4,15,72
SC.XYZA.17,IXD5,15,72
SC.XYZA.17,IXD53,15,72
SC.XYZA.17,IXD55,47,58
SC.XYZA.17,IXD6,47,58
SC.XYZA.17,IXD62,47,58
SC.XYZA.17,IXD66,0,87
SC.XYZA.17,IXD67,47,40
SC.XYZA.17,IXD69,15,72
SC.XYZA.17,IXD7,47,87
SC.XYZA.17,PAD1,47,58
SC.XYZA.17,PAD2,47,87
SC.XYZA.17,PAD4,47,72
SC.XYZA.17,PAD77,47,40
SC.XYZA.17,PAD79,47,40
SC.XYZA.17,PAD80,47,40
SC.XYZA.17,PAD89,47,40
SC.XYZA.17B,IXD1,10,31
SC.XYZA.17B,IXD12,10,41
SC.XYZA.17B,IXD2,0,41
SC.XYZA.17B,IXD202,0,41
SC.XYZA.17B,IXD23,0,41
SC.XYZA.17B,IXD250,10,31
SC.XYZA.17B,IXD33,10,31
SC.XYZA.17B,IXD4,0,41
SC.XYZA.17B,IXD5,0,41
SC.XYZA.17B,IXD53,0,41
SC.XYZA.17B,IXD55,10,31
SC.XYZA.17B,IXD6,10,31
SC.XYZA.17B,IXD62,10,31
SC.XYZA.17B,IXD66,0,41
SC.XYZA.17B,IXD67,10,31
SC.XYZA.17B,IXD69,0,41
SC.XYZA.17B,IXD7,10,41
SC.XYZA.17B,PAD1,10,31
SC.XYZA.17B,PAD2,10,41
SC.XYZA.17B,PAD4,10,41
SC.XYZA.17B,PAD77,10,31
SC.XYZA.17B,PAD79,10,31
SC.XYZA.17B,PAD80,10,31
SC.XYZA.17B,PAD89,10,31
SC.XYZAB.25,IXD1,1,2
SC.XYZAB.25,IXD12,1,2
SC.XYZAB.25,IXD2,0,2
SC.XYZAB.25,IXD202,0,2
SC.XYZAB.25,IXD23,0,2
SC.XYZAB.25,IXD250,1,1
SC.XYZAB.25,IXD33,1,1
SC.XYZAB.25,IXD4,0,2
SC.XYZAB.25,IXD5,0,2
SC.XYZAB.25,IXD53,0,2
SC.XYZAB.25,IXD55,1,2
SC.XYZAB.25,IXD6,1,2
SC.XYZAB.25,IXD62,1,2
SC.XYZAB.25,IXD66,0,2
SC.XYZAB.25,IXD67,1,1
SC.XYZAB.25,IXD69,0,2
SC.XYZAB.25,IXD7,1,2
SC.XYZAB.25,PAD1,1,2
SC.XYZAB.25,PAD2,1,2
SC.XYZAB.25,PAD4,1,2
SC.XYZAB.25,PAD77,1,1
SC.XYZAB.25,PAD79,1,1
SC.XYZAB.25,PAD80,1,1
SC.XYZAB.25,PAD89,1,1
SC.XYZAD.17,IXD1,49,59
SC.XYZAD.17,IXD12,49,87
SC.XYZAD.17,IXD2,15,72
SC.XYZAD.17,IXD202,15,72
SC.XYZAD.17,IXD23,15,72
SC.XYZAD.17,IXD250,49,38
SC.XYZAD.17,IXD33,49,38
SC.XYZAD.17,IXD4,15,72
SC.XYZAD.17,IXD5,15,72
SC.XYZAD.17,IXD53,15,72
SC.XYZAD.17,IXD55,49,59
SC.XYZAD.17,IXD6,49,59
SC.XYZAD.17,IXD62,49,59
SC.XYZAD.17,IXD66,0,87
SC.XYZAD.17,IXD67,49,38
SC.XYZAD.17,IXD69,15,72
SC.XYZAD.17,IXD7,49,87
SC.XYZAD.17,PAD1,49,59
SC.XYZAD.17,PAD2,49,87
SC.XYZAD.17,PAD4,49,72
SC.XYZAD.17,PAD77,49,38
SC.XYZAD.17,PAD79,49,38
SC.XYZAD.17,PAD80,49,38
SC.XYZAD.17,PAD89,49,38
SC.XYZAD.17B,IXD1,5,26
SC.XYZAD.17B,IXD12,5,31
SC.XYZAD.17B,IXD2,0,31
SC.XYZAD.17B,IXD202,0,31
SC.XYZAD.17B,IXD23,0,31
SC.XYZAD.17B,IXD250,5,26
SC.XYZAD.17B,IXD33,5,26
SC.XYZAD.17B,IXD4,0,31
SC.XYZAD.17B,IXD5,0,31
SC.XYZAD.17B,IXD53,0,31
SC.XYZAD.17B,IXD55,5,26
SC.XYZAD.17B,IXD6,5,26
SC.XYZAD.17B,IXD62,5,26
SC.XYZAD.17B,IXD66,0,31
SC.XYZAD.17B,IXD67,5,26
SC.XYZAD.17B,IXD69,0,31
SC.XYZAD.17B,IXD7,5,31
SC.XYZAD.17B,PAD1,5,26
SC.XYZAD.17B,PAD2,5,31
SC.XYZAD.17B,PAD4,5,31
SC.XYZAD.17B,PAD77,5,26
SC.XYZAD.17B,PAD79,5,26
